10 Oct 6:14 am (GMT -7) (10 Oct 13:14:57 UTC),M 6.0 / 10 km - Info, (1108 km)," Easter Island Region, Chile 3 reports",Map,GFZ,earthquake,0-10-10,-28.67 / -112.3
8 Oct 5:35 pm (GMT +10) (8 Oct 07:35:32 UTC),M 6.3 / 103.5 km - Info, (112 km)," 38 Km ENE of Kainantu, Papua New Guinea 77 reports",Map,USGS,earthquake,0-10-08,-6.114 / 146.1686
"Tue, 6 Oct 10:11 UTC",M 6.0 / 629 km - Info, (219 km), Fiji Islands Region 1 report,Map,GFZ,earthquake,0-10-06,-18.09 / -178.45
1 Oct 8:34 pm (GMT +10) (1 Oct 10:34:44 UTC),M 6.1 / 74 km - Info, (69 km)," New Britain Region, P.N.G., Papua New Guinea 59 reports",Map,GFZ,earthquake,0-10-01,-5.98 / 148.6
"Thu, 1 Oct 01:13 UTC",M 6.4 / 28 km - Info, (113 km)," 41 Km NE of Pangai, Tonga 13 reports",Map,USGS,earthquake,0-10-01,-19.5355 / -174.0834
